Strike,Maturity,"Option
price",Delta,Vega,Delta Strike,Gamma Strike,Theta,ChangedStrike,DividendFactor,ImpVolCalibrated,VegaRef,"Option
type",logMoneyness,impliedTotalVariance,Bid,Ask,ImpVolAsk,ImpVolBid,locvol,logMaturity,"Implied
vol."
2945,0.055,88.45,-0.859714505,149.4709352,2.008144453,0.019549946,-7318.095948,2941.072916,1,0.120582625,241.7487838,2,0.028117176,0.000663082,87.1,89.8,0.128494418,0.112117179,1,-2.900422094,0.120582625
2955,0.055,97,-0.891980162,124.4644956,2.173755908,0.021194437,-9534.839865,2951.059581,1,0.120511511,235.1433488,2,0.03150701,0.000635594,95.6,98.4,0.129686209,0.110363939,1,-2.900422094,0.120511511
2960,0.055,101.25,-0.90962153,109.2422779,2.279218811,0.022456558,-11127.79841,2956.052914,1,0.119570602,231.6272149,2,0.033197628,0.000604067,99.8,102.7,0.129735698,0.108001481,1,-2.900422094,0.119570602
2965,0.055,105.9,-0.919288252,100.3679469,2.343123401,0.022724923,-12160.72769,2961.046246,1,0.121184487,227.9803018,2,0.034885392,0.000609845,104.5,107.3,0.131477604,0.109346641,1,-2.900422094,0.121184487
2980,0.055,119.7,-0.9529337,65.90023545,2.622884495,0.025133245,-17352.8944,2976.026244,1,0.123096931,216.3432917,2,0.03993166,0.000561055,118.3,121.1,0.135330027,0.107865554,1,-2.900422094,0.123096931
2985,0.055,124.5,-0.959487193,58.3908283,2.694058884,0.025401094,-18856.37689,2981.019577,1,0.12503569,212.2620252,2,0.041608106,0.000561055,123.1,125.9,0.137797111,0.108806672,1,-2.900422094,0.12503569
2990,0.055,129.6,-0.957767181,60.3921042,2.673429538,0.024017052,-18433.55526,2986.012909,1,0.129894444,208.0946103,2,0.043281747,0.000620314,128.2,131,0.142712884,0.113739431,1,-2.900422094,0.129894444
3000,0.055,139.15,-0.971839941,43.29255616,2.856391949,0.025225316,-22596.80064,2995.999575,1,0.132691328,199.537151,2,0.046620648,0.000589174,137.7,140.6,0.147225169,0.113073961,1,-2.900422094,0.132691328
3005,0.055,144.05,-0.97543918,38.61602149,2.914360694,0.025226771,-24033.95521,3000.992907,1,0.135246872,195.1648487,2,0.048285927,0.00059488,142.6,145.5,0.150234368,0.114666654,1,-2.900422094,0.135246872
3010,0.055,149.15,-0.973000272,41.80036084,2.872518145,0.023718788,-23043.0643,3005.98624,1,0.140081932,190.741828,2,0.049948438,0.000663082,147.8,150.5,0.154130962,0.121541994,1,-2.900422094,0.140081932
3030,0.055,168.7,-0.987786523,21.26862822,3.188297199,0.024944262,-31589.63877,3025.95957,1,0.148814447,172.711786,2,0.056570979,0.000624996,167.4,170,0.164305953,0.127009681,1,-2.900422094,0.148814447
3045,0.055,183.9,-0.98216158,29.45962322,3.036755571,0.021040846,-27501.25818,3040.939568,1,0.16201709,159.0592655,2,0.061509261,0.00084568,182.6,185.2,0.177564076,0.140913159,1,-2.900422094,0.16201709
3075,0.055,213.7,-0.988365723,20.39094607,3.193757665,0.019573804,-32248.25677,3070.899564,1,0.179744756,132.2599284,2,0.071313261,0.000974359,212.3,215.1,0.198188055,0.152920923,1,-2.900422094,0.179744756
