Strike,Maturity,"Option
price",Delta,Vega,Delta Strike,Gamma Strike,Theta,ChangedStrike,DividendFactor,ImpVolCalibrated,VegaRef,"Option
type",logMoneyness,impliedTotalVariance,Bid,Ask,ImpVolAsk,ImpVolBid,locvol,logMaturity,"Implied
vol."
2595,0.055,2.5,-0.0373556232734138,54.6574635429067,0.058892069284328,-4.49423183654509E-05,216.290518196355,2591.53963208199,1,0.240223375073401,62.2470728585452,2,-0.0984051240270092,0.0031469152,2.4,2.6,0.242008937487844,0.238396381644998,1,-2.90042209374967,
2605,0.055,2.75,-0.0411426796349906,59.12630389897,0.064879749766997,-3.76436319501128E-05,235.349615283148,2601.52629733086,1,0.236782856011996,69.4763682019913,2,-0.0945589654395308,0.0030580902,2.6,2.9,0.239251961975242,0.23423675171216,1,-2.90042209374967,
2615,0.055,3.05,-0.0454672459800927,64.0963164214686,0.071744510650977,-2.7607863228993E-05,256.772416967715,2611.51296257973,1,0.233694912696956,77.1816819435611,2,-0.0907275431279748,0.0029756518,2.9,3.2,0.235974646976683,0.231352554127807,1,-2.90042209374967,
2620,0.055,3.15,-0.0472459608405908,66.1018144975809,0.074531841983871,-2.31376533402742E-05,265.098410947183,2616.50629520416,1,0.2312210162665,81.2071942221575,2,-0.0888173228718556,0.0029145622,3,3.3,0.233434952763491,0.228948706781375,1,-2.90042209374967,
2630,0.055,3.55,-0.052841207987467,72.2729375555046,0.0834929988674302,-6.75888503400522E-06,292.311043248963,2626.49296045303,1,0.228856312172138,89.5885398964313,2,-0.0850077944551879,0.0028541062,3.4,3.7,0.230885205793311,0.226781271249638,1,-2.90042209374967,
2640,0.055,3.95,-0.0585012827986158,78.3171327464006,0.0925544086416024,1.22098460411284E-05,318.838038331443,2636.4796257019,1,0.225874955783365,98.3842167650067,2,-0.0812127234866362,0.00277695495,3.8,4.1,0.227748569946561,0.223964088657522,1,-2.90042209374967,
2665,0.055,5.1,-0.0750385824389576,94.9670312808972,0.119188931147493,8.09453667006427E-05,392.306972704313,2661.44628882408,1,0.217755699023837,121.917625455746,2,-0.0717875830270533,0.00257797375,4.9,5.3,0.219818396729534,0.215653657869552,1,-2.90042209374967,
2670,0.055,5.4,-0.0791949332129284,98.9383757828036,0.125952988340165,0.000100956277901304,410.16883828412,2666.43962144852,1,0.216437505767681,126.838728324278,2,-0.0699131682327029,0.0025471072,5.2,5.6,0.218419820445706,0.214420142724703,1,-2.90042209374967,
2685,0.055,6.3,-0.091886387838658,110.591087168799,0.14663875595746,0.000169096771013913,461.929808100987,2681.41961932182,1,0.211520723905414,141.895832177325,2,-0.064310912684033,0.0024301222,6.1,6.5,0.21329764428956,0.209718360031547,1,-2.90042209374967,
2690,0.055,6.65,-0.096729080217899,114.860812391504,0.154590657509036,0.0001974455151478,481.037785809902,2686.41295194626,1,0.210021221335046,146.984441866639,2,-0.0624504470311134,0.00239556295,6.4,6.9,0.212158278348215,0.207848628994543,1,-2.90042209374967,
2695,0.055,7,-0.101607800908003,119.069433585245,0.162610249840673,0.000227530528796711,499.692022526444,2691.40628457069,1,0.208357758772036,152.092777942075,2,-0.0605934362839006,0.002356695,6.8,7.2,0.210010509380663,0.206684604921611,1,-2.90042209374967,
2705,0.055,7.8,-0.112449572577015,128.104478389296,0.180550284583119,0.000298607948335111,539.907667117906,2701.39294981957,1,0.205346320885292,162.330315211213,2,-0.0568897283464162,0.00228663655,7.6,8,0.206884120672476,0.203792285102827,1,-2.90042209374967,
2720,0.055,9.2,-0.131115906298422,142.707180914646,0.211758542117495,0.00043432409945168,604.587418590458,2716.37294769287,1,0.200991309549136,177.588607945869,2,-0.0513597603369551,0.00218901375,9,9.4,0.202374731482996,0.199596494007545,1,-2.90042209374967,
2725,0.055,9.65,-0.137336891853287,147.324114612893,0.222190235408143,0.000484573304056708,624.217161106768,2721.36628031731,1,0.199068483226002,182.607174093855,2,-0.0495232125296537,0.00214534375,9.4,9.9,0.200742398601142,0.197378583603141,1,-2.90042209374967,
2765,0.055,14.75,-0.203320199483943,189.60863275413,0.335869262274195,0.00111517547500098,794.972113797088,2761.31294131279,1,0.186262399958217,220.010309513333,2,-0.0349510056705629,0.0018701848,14.5,15,0.187569453594495,0.18494945202796,1,-2.90042209374967,
2770,0.055,15.55,-0.213313993639205,195.052796015682,0.353514349233952,0.00122709170473405,813.976542347438,2766.30627393723,1,0.184634515196078,224.185214902777,2,-0.033144320445614,0.00183586095,15.3,15.8,0.185905709153198,0.183358176322044,1,-2.90042209374967,
2790,0.055,19.1,-0.25750018729853,216.44056160729,0.432922513895291,0.00177411644869884,874.850019399102,2786.27960443497,1,0.177620294755464,239.345574347593,2,-0.0259500448115868,0.00169401375,18.8,19.4,0.178997784375916,0.176238651110388,1,-2.90042209374967,
2795,0.055,20.1,-0.269683616996763,221.607120010719,0.455234093323884,0.00193997575958552,884.760699351376,2791.2729370594,1,0.175817790858985,242.706797165301,2,-0.0241595340377986,0.0016575328,19.8,20.4,0.177163828173746,0.17446821050213,1,-2.90042209374967,
2800,0.055,21.2,-0.282715372544815,226.800098311282,0.479357595634411,0.00212012844035983,892.644775878696,2796.26626968384,1,0.174217508349958,245.880280280367,2,-0.0223722234637028,0.00162712,20.9,21.5,0.175533651531537,0.172898381199223,1,-2.90042209374967,
